duration_s,episode,fallen,final_z,forward_m,height_m,kind,success,survived,thickness_m
6.5,0,0,0.33651161947168085,-0.47345080617268376,0.05,square,0,1,0.08
6.5,0,0,0.33651161947168085,-0.47345080617268376,0.05,square,0,1,0.3
6.5,0,0,0.33651161947168085,-0.47345080617268376,0.115,square,0,1,0.08
6.5,0,0,0.33651161947168085,-0.47345080617268376,0.115,square,0,1,0.3
