episode,seed,forward_progress_m,lateral_drift_m,velocity_mae_mps,duration_s,fallen,fall_time_s,survival_success,progress_success,tracking_success,direction_success,overall_success,final_z,min_progress_m,ideal_distance_m,command_vx,kind
38,1038,0.8495221982284887,0.04035865612408915,0.1289718616462548,2.152,1,2.152,0,0,1,1,0,0.41270998829990757,3.5,5.0,0.5,rails_v2
39,1039,0.6270544183231285,0.15480733992806797,0.1418377353506847,2.23,1,2.23,0,0,1,1,0,0.25454281177016735,3.5,5.0,0.5,rails_v2
40,1040,0.5674957161673431,0.1645231414094631,0.2122198349110411,3.37,1,3.37,0,0,1,1,0,0.2366742786297423,3.5,5.0,0.5,rails_v2
41,1041,0.5904233250206748,0.09794333216715509,0.1227516369302077,2.084,1,2.084,0,0,1,1,0,0.246717051869341,3.5,5.0,0.5,rails_v2
42,1042,0.45999092925353524,0.44321061956887203,0.1759793584154269,6.94,1,6.94,0,0,1,1,0,0.21457236805670699,3.5,5.0,0.5,rails_v2
43,1043,0.7029473659108848,0.28714795835503315,0.13188264503104022,2.948,1,2.948,0,0,1,1,0,0.24112831686911715,3.5,5.0,0.5,rails_v2
44,1044,0.8101469309740291,0.09944605954646443,0.16784488603810807,2.064,1,2.064,0,0,1,1,0,0.25036192589204664,3.5,5.0,0.5,rails_v2
45,1045,0.6026214807339838,0.11725503084988546,0.12628002424410129,2.078,1,2.078,0,0,1,1,0,0.24116875129249268,3.5,5.0,0.5,rails_v2
46,1046,0.822802233497959,0.051996881502253664,0.15617270727595037,2.016,1,2.016,0,0,1,1,0,0.24623126742481996,3.5,5.0,0.5,rails_v2
47,1047,0.5697703161696526,0.15433238160583168,0.13409106788623573,2.116,1,2.116,0,0,1,1,0,0.2512731381222036,3.5,5.0,0.5,rails_v2
48,1048,0.7565646703224905,0.035369820204344704,0.1724329724203432,2.08,1,2.08,0,0,1,1,0,0.34592232048363564,3.5,5.0,0.5,rails_v2
49,1049,0.032653398504658725,0.32217426589041953,0.16083811578396032,3.084,1,3.084,0,0,1,1,0,0.1820898393255743,3.5,5.0,0.5,rails_v2
